id,COL,DEPT,CRN,CRS_NO,TITLE,SECT,TYPE_,CAMP,ENROL,INSTR_ID,INSTRUCTOR,EXAM_DATE,COURSE_TYPE,COURSE_CLASS,time_slot
508,5,HSAD,21290,504461,Marketing in Health Services,71,LEC,MDM,12,101989,Alounoud Mohamed Hassan Ramadan Salman,06/05/2024,General,Year4,16:00PM - 18:00PM
511,4,ARCH,23365,404102,Intro. to Arch. Engineering,11Q,LEB,UOS,6,10860,Mariam Seif Eldin Hassan,06/05/2024,General,Year1,16:00PM - 18:00PM
517,2,ARAB,21668,201212,Syntax & Morphology Studies 2,1,LEC,MAM,22,101957,Saif Al-Dien Taha Salim Alfuqara,06/05/2024,General,Year2,16:00PM - 18:00PM
527,2,HISL,22444,203350,Introduction to Tourism,11,LEC,UOS,82,102043,Nidal Mohammed Meflieh Al-Zboun,06/05/2024,General,Year3,16:00PM - 18:00PM
546,14,CHMS,23414,1420442,Quantum Chemistry,11,LEC,UOS,20,102055,Tanveer  Ul Haq,06/05/2024,General,Year4,16:00PM - 18:00PM
563,4,CIVL,24254,401104,Engineering Drawing Lab,11,LAB,UOS,9,10218,Faiza Sh. Naser,06/05/2024,General,Year1,16:00PM - 18:00PM
566,14,APHY,20741,1430106,Remedial Physics,02R,LEC,UOS,66,10214,Mohammed A. Mansour,06/05/2024,General,Year1,16:00PM - 18:00PM
621,11,PHPR,23703,1102360,Integ. Pharma. & Therap. IIA,71,LEC,MDM,79,101943,Khalid Awad Ayoob Al-Kubaissi,06/05/2024,General,Year3,08:30AM - 10:30AM
647,14,MATH,20225,1440261,Diff. Equs for Engs,1,LEC,MAM,42,101845,Aziz Jozilovich Takhirov,06/05/2024,General,Year2,11:00AM - 13:00PM
648,14,MATH,20230,1440261,Diff. Equs for Engs,52,LEC,MAW,52,101016,Firas  Ghanim,06/05/2024,General,Year2,11:00AM - 13:00PM
656,4,EECE,20994,402346,Telecommunication Systems 1,1,LEC,MAM,29,101198,Saeed  Abdallah,06/05/2024,General,Year3,11:00AM - 13:00PM
657,5,HSAD,21204,504262,Manag. in Primary Healthcare,71,LEC,MDM,19,101516,Amina Mohammed Abdulla Almarzooqi,06/05/2024,General,Year2,11:00AM - 13:00PM
658,2,SOCI,20982,204412,Social Organizations,51,LEC,MAW,52,101093,Omaima Mohamed Abou Elkheir,06/05/2024,General,Year4,11:00AM - 13:00PM
679,4,IEMG,22875,405434,Maintenance Planning & Control,11,LEC,UOS,34,101586,Hamad  Rashid,06/05/2024,General,Year4,11:00AM - 13:00PM
709,11,PHCS,24224,1103230,Dosage Forms I,71,LEC,MDM,24,101793,Zahid  Hussain,06/05/2024,General,Year2,13:30PM - 15:30PM
